dataset_id,query_id,intervention,reference,target,effect_time,tau_gt,oracle_decision,structural_source,I_reaches_Y,R_reaches_Y,path_decision,path_state,selective_regret,cycle_detected
1,9,25,40,19,2,0.0013604865528805687,I,gt,True,True,ABSTAIN,STRUCTURE_AMBIGUOUS,,False
2,0,15,25,13,2,7.155221476340401e-05,I,gt,False,True,R,STRUCTURE_MISLEADING,7.155221476340401e-05,False
2,1,20,35,20,2,-0.00019168690719495451,R,gt,False,True,R,STRUCTURE_SUFFICIENT,0.0,False
2,2,30,40,13,2,0.006155919768658646,I,gt,True,True,ABSTAIN,STRUCTURE_AMBIGUOUS,,False
2,3,10,35,10,2,0.29968710209605604,I,gt,False,True,R,STRUCTURE_MISLEADING,0.29968710209605604,False
2,4,20,35,16,2,0.09670558540313223,I,gt,True,True,ABSTAIN,STRUCTURE_AMBIGUOUS,,False
2,5,25,40,12,2,-0.002825888584485292,R,gt,True,True,ABSTAIN,STRUCTURE_AMBIGUOUS,,False
2,6,20,45,45,2,-0.09472268637866632,R,gt,False,False,ABSTAIN,STRUCTURE_AMBIGUOUS,,False
2,7,10,40,40,2,-0.0580943460830996,R,gt,False,False,ABSTAIN,STRUCTURE_AMBIGUOUS,,False
2,8,20,40,20,2,0.1676599143749079,I,gt,False,True,R,STRUCTURE_MISLEADING,0.1676599143749079,False
2,9,35,45,38,2,2.3740509558223266e-10,I,gt,False,False,ABSTAIN,STRUCTURE_AMBIGUOUS,,False
3,0,5,30,30,2,-0.11372112309111182,R,gt,False,False,ABSTAIN,STRUCTURE_AMBIGUOUS,,False
3,1,30,35,21,2,0.059425333614133324,I,gt,True,True,ABSTAIN,STRUCTURE_AMBIGUOUS,,False
3,2,25,30,22,2,-0.006898308131448649,R,gt,True,True,ABSTAIN,STRUCTURE_AMBIGUOUS,,False
3,3,25,30,25,2,0.26298798758129865,I,gt,False,True,R,STRUCTURE_MISLEADING,0.26298798758129865,False
3,4,20,40,16,2,-1.0538801936688103e-06,R,gt,True,True,ABSTAIN,STRUCTURE_AMBIGUOUS,,False
3,5,25,45,23,2,-0.0010453708790412186,R,gt,False,True,R,STRUCTURE_SUFFICIENT,0.0,False
3,6,30,35,19,2,0.00040236059678927516,I,gt,True,True,ABSTAIN,STRUCTURE_AMBIGUOUS,,False
3,7,25,45,24,2,-1.7539857188886288e-07,R,gt,False,True,R,STRUCTURE_SUFFICIENT,0.0,False
3,8,5,35,5,2,0.14985089717474087,I,gt,False,True,R,STRUCTURE_MISLEADING,0.14985089717474087,False
3,9,10,25,25,2,-0.29483271106655706,R,gt,False,False,ABSTAIN,STRUCTURE_AMBIGUOUS,,False
4,0,5,30,30,2,-0.32392533644581456,R,gt,False,False,ABSTAIN,STRUCTURE_AMBIGUOUS,,False
4,1,25,45,19,2,2.6754710750365174e-05,I,gt,False,True,R,STRUCTURE_MISLEADING,2.6754710750365174e-05,False
4,2,5,35,5,2,0.07787916200331524,I,gt,False,True,R,STRUCTURE_MISLEADING,0.07787916200331524,False
4,3,40,45,33,2,-0.09274525787014043,R,gt,True,True,ABSTAIN,STRUCTURE_AMBIGUOUS,,False
4,4,20,40,15,2,0.07158422904736178,I,gt,True,True,ABSTAIN,STRUCTURE_AMBIGUOUS,,False
4,5,10,30,30,2,-0.2390699638507432,R,gt,False,False,ABSTAIN,STRUCTURE_AMBIGUOUS,,False
4,6,25,35,25,2,0.11188602945958831,I,gt,False,True,R,STRUCTURE_MISLEADING,0.11188602945958831,False
4,7,25,45,23,2,0.009989717825888755,I,gt,False,True,R,STRUCTURE_MISLEADING,0.009989717825888755,False
4,8,20,40,14,2,0.0006093652282765927,I,gt,True,True,ABSTAIN,STRUCTURE_AMBIGUOUS,,False
4,9,30,35,28,2,-7.198798685004171e-05,R,gt,True,True,ABSTAIN,STRUCTURE_AMBIGUOUS,,False
0,0,25,35,25,2,-0.00021435298867300556,R,method_d,False,False,ABSTAIN,STRUCTURE_AMBIGUOUS,,False
0,1,10,40,40,2,-0.12244717200410993,R,method_d,False,False,ABSTAIN,STRUCTURE_AMBIGUOUS,,False
0,2,15,40,3,2,0.11483773830698918,I,method_d,False,False,ABSTAIN,STRUCTURE_AMBIGUOUS,,False
0,3,20,40,16,2,-0.0017711027606862606,R,method_d,False,False,ABSTAIN,STRUCTURE_AMBIGUOUS,,False
0,4,5,45,45,2,-0.029272100344071794,R,method_d,False,False,ABSTAIN,STRUCTURE_AMBIGUOUS,,False
0,5,5,35,5,2,0.0743223394059992,I,method_d,False,True,R,STRUCTURE_MISLEADING,0.0743223394059992,False
0,6,10,35,10,2,0.22024986913277,I,method_d,False,True,R,STRUCTURE_MISLEADING,0.22024986913277,False
0,7,25,45,11,2,-0.0003834573959022314,R,method_d,False,False,ABSTAIN,STRUCTURE_AMBIGUOUS,,False
0,8,30,40,13,2,-0.08692527441502923,R,method_d,False,False,ABSTAIN,STRUCTURE_AMBIGUOUS,,False
0,9,25,45,12,2,-0.08788523663161896,R,method_d,False,True,R,STRUCTURE_SUFFICIENT,0.0,False
1,0,25,45,6,2,0.002158158590883197,I,method_d,True,True,ABSTAIN,STRUCTURE_AMBIGUOUS,,False
1,1,25,35,25,2,-1.8603900303615362e-07,R,method_d,False,False,ABSTAIN,STRUCTURE_AMBIGUOUS,,False
1,2,15,30,30,2,-0.10331404830457858,R,method_d,False,False,ABSTAIN,STRUCTURE_AMBIGUOUS,,False
1,3,20,40,9,2,0.0011446741300483176,I,method_d,False,True,R,STRUCTURE_MISLEADING,0.0011446741300483176,False
1,4,20,40,16,2,0.08991850745118635,I,method_d,False,True,R,STRUCTURE_MISLEADING,0.08991850745118635,False
1,5,15,45,12,2,-0.014287840965259868,R,method_d,False,False,ABSTAIN,STRUCTURE_AMBIGUOUS,,False
1,6,10,35,10,2,0.17738250554933377,I,method_d,False,True,R,STRUCTURE_MISLEADING,0.17738250554933377,False
1,7,5,15,15,2,-0.11059910493074165,R,method_d,False,False,ABSTAIN,STRUCTURE_AMBIGUOUS,,False
1,8,5,35,5,2,0.17344740800923159,I,method_d,False,True,R,STRUCTURE_MISLEADING,0.17344740800923159,False
1,9,25,40,19,2,0.0013604865528805687,I,method_d,False,True,R,STRUCTURE_MISLEADING,0.0013604865528805687,False
2,0,15,25,13,2,7.155221476340401e-05,I,method_d,False,True,R,STRUCTURE_MISLEADING,7.155221476340401e-05,False
2,1,20,35,20,2,-0.00019168690719495451,R,method_d,False,True,R,STRUCTURE_SUFFICIENT,0.0,False
2,2,30,40,13,2,0.006155919768658646,I,method_d,True,True,ABSTAIN,STRUCTURE_AMBIGUOUS,,False
2,3,10,35,10,2,0.29968710209605604,I,method_d,False,True,R,STRUCTURE_MISLEADING,0.29968710209605604,False
2,4,20,35,16,2,0.09670558540313223,I,method_d,True,True,ABSTAIN,STRUCTURE_AMBIGUOUS,,False
2,5,25,40,12,2,-0.002825888584485292,R,method_d,True,True,ABSTAIN,STRUCTURE_AMBIGUOUS,,False
2,6,20,45,45,2,-0.09472268637866632,R,method_d,False,False,ABSTAIN,STRUCTURE_AMBIGUOUS,,False
2,7,10,40,40,2,-0.0580943460830996,R,method_d,False,False,ABSTAIN,STRUCTURE_AMBIGUOUS,,False
2,8,20,40,20,2,0.1676599143749079,I,method_d,False,True,R,STRUCTURE_MISLEADING,0.1676599143749079,False
2,9,35,45,38,2,2.3740509558223266e-10,I,method_d,False,True,R,STRUCTURE_MISLEADING,2.3740509558223266e-10,False
3,0,5,30,30,2,-0.11372112309111182,R,method_d,False,False,ABSTAIN,STRUCTURE_AMBIGUOUS,,False
3,1,30,35,21,2,0.059425333614133324,I,method_d,True,True,ABSTAIN,STRUCTURE_AMBIGUOUS,,False
3,2,25,30,22,2,-0.006898308131448649,R,method_d,False,False,ABSTAIN,STRUCTURE_AMBIGUOUS,,False
3,3,25,30,25,2,0.26298798758129865,I,method_d,False,False,ABSTAIN,STRUCTURE_AMBIGUOUS,,False
3,4,20,40,16,2,-1.0538801936688103e-06,R,method_d,False,True,R,STRUCTURE_SUFFICIENT,0.0,False
3,5,25,45,23,2,-0.0010453708790412186,R,method_d,False,True,R,STRUCTURE_SUFFICIENT,0.0,False
3,6,30,35,19,2,0.00040236059678927516,I,method_d,True,False,I,STRUCTURE_SUFFICIENT,0.0,False
3,7,25,45,24,2,-1.7539857188886288e-07,R,method_d,False,False,ABSTAIN,STRUCTURE_AMBIGUOUS,,False
3,8,5,35,5,2,0.14985089717474087,I,method_d,False,True,R,STRUCTURE_MISLEADING,0.14985089717474087,False
3,9,10,25,25,2,-0.29483271106655706,R,method_d,False,False,ABSTAIN,STRUCTURE_AMBIGUOUS,,False
4,0,5,30,30,2,-0.32392533644581456,R,method_d,False,False,ABSTAIN,STRUCTURE_AMBIGUOUS,,False
4,1,25,45,19,2,2.6754710750365174e-05,I,method_d,False,True,R,STRUCTURE_MISLEADING,2.6754710750365174e-05,False
4,2,5,35,5,2,0.07787916200331524,I,method_d,False,True,R,STRUCTURE_MISLEADING,0.07787916200331524,False
4,3,40,45,33,2,-0.09274525787014043,R,method_d,True,True,ABSTAIN,STRUCTURE_AMBIGUOUS,,False
4,4,20,40,15,2,0.07158422904736178,I,method_d,True,True,ABSTAIN,STRUCTURE_AMBIGUOUS,,False
4,5,10,30,30,2,-0.2390699638507432,R,method_d,False,False,ABSTAIN,STRUCTURE_AMBIGUOUS,,False
4,6,25,35,25,2,0.11188602945958831,I,method_d,False,True,R,STRUCTURE_MISLEADING,0.11188602945958831,False
4,7,25,45,23,2,0.009989717825888755,I,method_d,False,True,R,STRUCTURE_MISLEADING,0.009989717825888755,False
4,8,20,40,14,2,0.0006093652282765927,I,method_d,False,True,R,STRUCTURE_MISLEADING,0.0006093652282765927,False
4,9,30,35,28,2,-7.198798685004171e-05,R,method_d,True,True,ABSTAIN,STRUCTURE_AMBIGUOUS,,False
