public_path,artifact_type,paper_section,purpose,canonical_status,publication_modification,privacy_checked,sha256
results/b2a_external_synthetic_training_v1.npz,synthetic_data,Sections 3.10-3.14,Six-environment training states and actions,canonical,None,yes,bd0294b4e4bc3bc0f7407ecb2110e15aad005235539fd461638d845434d25edd
results/draft2_reviewer_chance_reference_v1.csv,result,Sections 3.7-4.9,Paper diagnostic: chance reference,canonical,None,yes,e8f750dbdf127a15fd0988248ac5140ad840eac7ef60b38adea47b7fa54c1937
results/draft2_reviewer_external_alignment_audit_v1.json,audit,Sections 3.11-3.14,Temporal alignment overlap and coupling audit,canonical,Rewrote evidence-source paths only; numeric scientific content unchanged,yes,4dda89ecc923c4535d596fe3391d08752ce3f75dc5ca44c1fe65c736efd1ecdf
results/draft2_reviewer_external_rank_diagnostic_v1.csv,result,Sections 3.7-4.9,Paper diagnostic: external rank diagnostic,canonical,None,yes,e589c3d7e4e1e759591a4bb89bcaeffad52cb598b6ca73410a13c8413dcb2f84
results/draft2_reviewer_external_scale_audit_v1.csv,result,Sections 3.7-4.9,Paper diagnostic: external scale audit,canonical,None,yes,3999b81ca867b0b220f8ce3c8271d12d78519eaa51ea6d586363d4b9f158cdcf
results/draft2_reviewer_method_d_audit_v1.csv,result,Sections 3.7-4.9,Paper diagnostic: method d audit,canonical,None,yes,0cc40297b56d32d970c15729260730f43d9c89e9892a12e89ca2f4e8c6983754
results/draft2_reviewer_method_d_threshold_sensitivity_v1.csv,result,Sections 3.7-4.9,Paper diagnostic: method d threshold sensitivity,canonical,None,yes,46e2be6dfc0e6312ff13d18a399206e795ca61f5fe3d3930c95531b8e9697409
results/draft2_reviewer_structural_bootstrap_v1.csv,result,Sections 3.7-4.9,Paper diagnostic: structural bootstrap,canonical,None,yes,f436dd18af35d1ff484019ab0c0dceb55c13a62a34538c49a33ae043383191b5
results/draft2_reviewer_structural_transitions_v1.csv,result,Sections 3.7-4.9,Paper diagnostic: structural transitions,canonical,None,yes,91f3eb0392a4cca7d272a575f4a148ebe6f2d634432f0b5e37c7f1d7fdbf4021
results/draft2_reviewer_zero_composition_by_environment_v1.csv,result,Sections 3.7-4.9,Paper diagnostic: zero composition by environment,canonical,None,yes,8dc1aff138477ddcd2cbaa3b7b9dbab6c5fcb6d92fbd5d5bf1253ee2410d0063
results/draft2_reviewer_zero_effect_predictions_v1.csv,result,Sections 3.7-4.9,Paper diagnostic: zero effect predictions,canonical,None,yes,a17cd755cdcf504297c96ed0181b0a428c5f90b5eb15a56f39879d60e1114161
results/draft2_reviewer_zero_nonzero_v1.csv,result,Sections 3.7-4.9,Paper diagnostic: zero nonzero,canonical,None,yes,540d3b90768380dc3754a2fafbb1d689a68bc05ae15759773037fac9be91fed5
results/pooled_ridge_predictions_reconstructed_for_release.csv,result,Table 3 secondary comparison,Deterministic per-query Pooled Ridge reconstruction,reconstructed_publication_artifact,Regenerated and confirmed byte-identical,yes,8e8ef2a414516c9b5a96babdd65248c7f2991b79144e0e2aabc1aaa3eeeecbb0
results/structure_effect_decision_v1_query_level.csv,result,Sections 4.1-4.4,structure effect decision query level,canonical,None,yes,d7194b3c53c210dd84d1e70b21a66fb495a306d40a32ecb8ffb00aa4fff7ada4
results/structure_effect_paired_comparison_v1.csv,result,Sections 4.1-4.4,structure effect paired comparison,canonical,None,yes,8a0b04fda6a164d4414a442952736631a7d4f1b72da5a197211ddfd83f1b915b
results/structure_effect_path_robustness_v1_query_level.csv,result,Sections 4.1-4.4,structure effect path robustness query level,canonical,None,yes,436be6a306464f27aa879bb3aa15aa6083dc6e7b3bf60f1cb5433d2585993272
results/task1_method_d_edges.csv,input_result,Sections 3.8 and 4.1,Frozen Method-D graph input,canonical,None,yes,0c5f6ac9e062a36d3262f93e2cb8a4188e585c54d8e2fc1afe851e5214a02bbf
results/task2_b2a_effect_estimates.csv,input_result,Sections 3.2 and 4.9,Frozen benchmark B2A estimates and query keys,canonical,None,yes,ab508f64b7634b3d2cb1082776158d6add0737193a04f554bdc257b355d2cffa
src/audit_reported_results.py,code,Sections 4.1-4.9,Audit all reported numeric values,publication_audit,Documentation wording sanitized,yes,e28bf3dd7db4024cf9fe2ac118d519bc30606e53c69b59c1a3a11a8530417c24
src/make_figures.py,code,Figures 1-3,Generate all manuscript figures,publication_producer,Figure 1 diagram and terminology plus Figure 2 title synchronized,yes,736fcce026478c3d6107f9de257569e769bd3c84104fa9669741b42699791a76
src/reproduce_method_d_sensitivity.py,code,Table 2,Reconstruct Method-D graphs and sensitivity metrics,publication_producer,None,yes,208e7f5509b051db6dbd314e5f52d2e39b7c255938f54c61d72837c0d8ad71a4
src/reproduce_pooled_ridge.py,code,Table 3 secondary comparison,Reconstruct Pooled Ridge per-query predictions,publication_producer,None,yes,16328acef7421347d571074a9eb6c0061562fd3d1e238854ce18c29b5beac9cb
src/reproduce_structural_bootstrap.py,code,Table 1,Reproduce structural and paired bootstrap values,publication_producer,None,yes,e4627870adb284ae9be6d61fcca58382bc826d07f1fd99a59d12e30ce66cc0a2
src/verify_external_reproducibility.py,code,Sections 3.10-4.9,Regenerate and compare external-synthetic scientific content,publication_verifier,Added isolated metadata-insensitive reproduction check,yes,55944188b71132600f638a81193e853e140cc3ac3d5fa1391bf2592d61b46479
supplementary/README.md,documentation,Supplementary Table S1,Document the supplementary table provenance,publication_documentation,Removed venue-temporary wording,yes,13109d346d0031509062206e9a55efa4e917c7fba3ec2bf9e59c86bbf981e2bc
supplementary/table_s1_environment_level_diagnostics.csv,result,Supplementary Table S1,Machine-readable environment-level diagnostics,derived_from_canonical_results,None,yes,b33aa199a544c700f55dab2e46f7e8db427ae28646b76c1d65dce13af4ff8f82
